source,window,conn_count,conn_rate,uniq_dst_ports,uniq_dst_hosts,spdp_ratio,meta_ratio,userdata_ratio,mcast_ratio,dst_port_entropy,label,binary,batch
10.10.10.2,49270,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49272,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49273,4,0.5,2,2,0.75,0.0,0.0,1.0,0.811,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49274,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49277,3,0.375,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49280,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49281,5,0.625,2,2,0.8,0.0,0.0,1.0,0.722,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49282,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
169.254.215.42,49283,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
fe80::3c13:ec9f:2b6e:b0ea,49283,1,0.125,1,1,0.0,0.0,0.0,0.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49284,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49285,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49287,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49288,4,0.5,2,2,0.75,0.0,0.0,1.0,0.811,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49289,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49292,3,0.375,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49295,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49296,5,0.625,2,2,0.8,0.0,0.0,1.0,0.722,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49297,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
169.254.215.42,49298,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
fe80::3c13:ec9f:2b6e:b0ea,49298,1,0.125,1,1,0.0,0.0,0.0,0.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49299,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49300,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49302,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49303,4,0.5,2,2,0.75,0.0,0.0,1.0,0.811,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49304,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49307,3,0.375,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49310,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
